Valasztas,MAZ,TAZ,Telepules,TEVK,Lista,Szavazat,szavkor
Fovarosi lista,01,001,Budapest 01. kerület,01,FIDESZ,346,001
Fovarosi lista,01,001,Budapest 01. kerület,01,TISZA,237,001
Fovarosi lista,01,001,Budapest 01. kerület,01,Vitezy-LMP,98,001
Fovarosi lista,01,001,Budapest 01. kerület,01,DK-MSZP-PARBESZED,98,001
Fovarosi lista,01,001,Budapest 01. kerület,01,MKKP,65,001
Fovarosi lista,01,001,Budapest 01. kerület,01,MOMENTUM,37,001
Fovarosi lista,01,001,Budapest 01. kerület,01,Mi Hazank,29,001
Fovarosi lista,01,001,Budapest 01. kerület,01,Nep Partjan,1,001
Fovarosi lista,01,001,Budapest 01. kerület,01,Szolidaritas,1,001
Fovarosi lista,01,001,Budapest 01. kerület,01,Munkaspart,0,001
Fovarosi lista,01,001,Budapest 01. kerület,01,ervenytelen,13,001
Fovarosi lista,01,001,Budapest 01. kerület,01,FIDESZ,361,002
Fovarosi lista,01,001,Budapest 01. kerület,01,TISZA,262,002
Fovarosi lista,01,001,Budapest 01. kerület,01,DK-MSZP-PARBESZED,98,002
Fovarosi lista,01,001,Budapest 01. kerület,01,Vitezy-LMP,73,002
Fovarosi lista,01,001,Budapest 01. kerület,01,MKKP,67,002
Fovarosi lista,01,001,Budapest 01. kerület,01,MOMENTUM,46,002
Fovarosi lista,01,001,Budapest 01. kerület,01,Mi Hazank,27,002
Fovarosi lista,01,001,Budapest 01. kerület,01,Munkaspart,2,002
Fovarosi lista,01,001,Budapest 01. kerület,01,Nep Partjan,0,002
Fovarosi lista,01,001,Budapest 01. kerület,01,Szolidaritas,0,002
Fovarosi lista,01,001,Budapest 01. kerület,01,ervenytelen,10,002
Fovarosi lista,01,001,Budapest 01. kerület,02,FIDESZ,250,003
Fovarosi lista,01,001,Budapest 01. kerület,02,TISZA,146,003
Fovarosi lista,01,001,Budapest 01. kerület,02,MKKP,71,003
Fovarosi lista,01,001,Budapest 01. kerület,02,DK-MSZP-PARBESZED,68,003
