Valasztas,MAZ,TAZ,Telepules,TEVK,Jelolt,Szavazat,szavkor
Fopolgarmester,01,001,Budapest 01. kerület,01,Grundtner,0,001
Fopolgarmester,01,001,Budapest 01. kerület,01,Vitezy,0,001
Fopolgarmester,01,001,Budapest 01. kerület,01,Szentkiralyi,0,001
Fopolgarmester,01,001,Budapest 01. kerület,01,Karacsony,0,001
Fopolgarmester,01,001,Budapest 01. kerület,01,Grundtner,0,002
Fopolgarmester,01,001,Budapest 01. kerület,01,Vitezy,0,002
Fopolgarmester,01,001,Budapest 01. kerület,01,Szentkiralyi,0,002
Fopolgarmester,01,001,Budapest 01. kerület,01,Karacsony,0,002
Fopolgarmester,01,001,Budapest 01. kerület,02,Grundtner,0,003
Fopolgarmester,01,001,Budapest 01. kerület,02,Vitezy,0,003
Fopolgarmester,01,001,Budapest 01. kerület,02,Szentkiralyi,0,003
Fopolgarmester,01,001,Budapest 01. kerület,02,Karacsony,0,003
Fopolgarmester,01,001,Budapest 01. kerület,02,Grundtner,0,004
Fopolgarmester,01,001,Budapest 01. kerület,02,Vitezy,0,004
Fopolgarmester,01,001,Budapest 01. kerület,02,Szentkiralyi,0,004
Fopolgarmester,01,001,Budapest 01. kerület,02,Karacsony,0,004
Fopolgarmester,01,001,Budapest 01. kerület,03,Grundtner,0,005
Fopolgarmester,01,001,Budapest 01. kerület,03,Vitezy,0,005
Fopolgarmester,01,001,Budapest 01. kerület,03,Szentkiralyi,0,005
Fopolgarmester,01,001,Budapest 01. kerület,03,Karacsony,0,005
Fopolgarmester,01,001,Budapest 01. kerület,03,Grundtner,0,006
Fopolgarmester,01,001,Budapest 01. kerület,03,Vitezy,0,006
Fopolgarmester,01,001,Budapest 01. kerület,03,Szentkiralyi,0,006
Fopolgarmester,01,001,Budapest 01. kerület,03,Karacsony,0,006
Fopolgarmester,01,001,Budapest 01. kerület,04,Grundtner,0,007
Fopolgarmester,01,001,Budapest 01. kerület,04,Vitezy,0,007
Fopolgarmester,01,001,Budapest 01. kerület,04,Szentkiralyi,0,007
Fopolgarmester,01,001,Budapest 01. kerület,04,Karacsony,0,007
Fopolgarmester,01,001,Budapest 01. kerület,04,Grundtner,0,008
Fopolgarmester,01,001,Budapest 01. kerület,04,Vitezy,0,008
Fopolgarmester,01,001,Budapest 01. kerület,04,Szentkiralyi,0,008
Fopolgarmester,01,001,Budapest 01. kerület,04,Karacsony,0,008
Fopolgarmester,01,001,Budapest 01. kerület,05,Grundtner,0,009
Fopolgarmester,01,001,Budapest 01. kerület,05,Vitezy,0,009
Fopolgarmester,01,001,Budapest 01. kerület,05,Szentkiralyi,0,009
Fopolgarmester,01,001,Budapest 01. kerület,05,Karacsony,0,009
Fopolgarmester,01,001,Budapest 01. kerület,05,Grundtner,0,010
Fopolgarmester,01,001,Budapest 01. kerület,05,Vitezy,0,010
Fopolgarmester,01,001,Budapest 01. kerület,05,Szentkiralyi,0,010
Fopolgarmester,01,001,Budapest 01. kerület,05,Karacsony,0,010
Fopolgarmester,01,001,Budapest 01. kerület,06,Grundtner,0,011
Fopolgarmester,01,001,Budapest 01. kerület,06,Vitezy,0,011
Fopolgarmester,01,001,Budapest 01. kerület,06,Szentkiralyi,0,011
Fopolgarmester,01,001,Budapest 01. kerület,06,Karacsony,0,011
Fopolgarmester,01,001,Budapest 01. kerület,06,Grundtner,0,012
Fopolgarmester,01,001,Budapest 01. kerület,06,Vitezy,0,012
Fopolgarmester,01,001,Budapest 01. kerület,06,Szentkiralyi,0,012
Fopolgarmester,01,001,Budapest 01. kerület,06,Karacsony,0,012
Fopolgarmester,01,001,Budapest 01. kerület,07,Grundtner,0,013
Fopolgarmester,01,001,Budapest 01. kerület,07,Vitezy,0,013
Fopolgarmester,01,001,Budapest 01. kerület,07,Szentkiralyi,0,013
Fopolgarmester,01,001,Budapest 01. kerület,07,Karacsony,0,013
Fopolgarmester,01,001,Budapest 01. kerület,07,Grundtner,0,014
Fopolgarmester,01,001,Budapest 01. kerület,07,Vitezy,0,014
Fopolgarmester,01,001,Budapest 01. kerület,07,Szentkiralyi,0,014
Fopolgarmester,01,001,Budapest 01. kerület,07,Karacsony,0,014
Fopolgarmester,01,001,Budapest 01. kerület,08,Grundtner,0,015
Fopolgarmester,01,001,Budapest 01. kerület,08,Vitezy,0,015
Fopolgarmester,01,001,Budapest 01. kerület,08,Szentkiralyi,0,015
Fopolgarmester,01,001,Budapest 01. kerület,08,Karacsony,0,015
Fopolgarmester,01,001,Budapest 01. kerület,08,Grundtner,0,016
Fopolgarmester,01,001,Budapest 01. kerület,08,Vitezy,0,016
Fopolgarmester,01,001,Budapest 01. kerület,08,Szentkiralyi,0,016
Fopolgarmester,01,001,Budapest 01. kerület,08,Karacsony,0,016
Fopolgarmester,01,002,Budapest 02. kerület,01,Grundtner,0,067
Fopolgarmester,01,002,Budapest 02. kerület,01,Vitezy,0,067
Fopolgarmester,01,002,Budapest 02. kerület,01,Szentkiralyi,0,067
Fopolgarmester,01,002,Budapest 02. kerület,01,Karacsony,0,067
Fopolgarmester,01,002,Budapest 02. kerület,01,Grundtner,0,068
Fopolgarmester,01,002,Budapest 02. kerület,01,Vitezy,0,068
Fopolgarmester,01,002,Budapest 02. kerület,01,Szentkiralyi,0,068
Fopolgarmester,01,002,Budapest 02. kerület,01,Karacsony,0,068
Fopolgarmester,01,002,Budapest 02. kerület,01,Grundtner,0,070
Fopolgarmester,01,002,Budapest 02. kerület,01,Vitezy,0,070
Fopolgarmester,01,002,Budapest 02. kerület,01,Szentkiralyi,0,070
Fopolgarmester,01,002,Budapest 02. kerület,01,Karacsony,0,070
Fopolgarmester,01,002,Budapest 02. kerület,01,Grundtner,0,071
Fopolgarmester,01,002,Budapest 02. kerület,01,Vitezy,0,071
Fopolgarmester,01,002,Budapest 02. kerület,01,Szentkiralyi,0,071
